0,org_name,Област,Община,Град/село,Район,special_territory_type,special_territory_name,description,contact_email
387,Община Стамболово,Хасково,Стамболово,,,,,,kmet@stambolovo.bg
388,Община Стара Загора,Стара Загора,Стара Загора,,,,,,sz@starazagora.bg
389,Община Стражица,Велико Търново,Стражица,,,,,,obshtina@strazhitsa.egov.bg
390,Община Стралджа,Ямбол,Стралджа,,,,,,obshtina@straldzha.bg
391,Община Стрелча,Пазарджик,Стрелча,,,,,,kmet.strelcha@gmail.bg
392,Община Струмяни,Благоевград,Струмяни,,,,,,kmet@strumyani.egov.bg
393,Община Суворово,Варна,Суворово,,,,,,kmet@suvorovo.bg
394,Община Сунгурларе,Бургас,Сунгурларе,,,,,,kmetsungurlare@abv.bg
395,Община Сухиндол,Велико Търново,Сухиндол,,,,,,kmet@suhindol.egov.bg
396,Община Съединение,Пловдив,Съединение,,,,,,oba_saedinenie@abv.bg
397,Община Сърница,Пазарджик,Сърница,,,,,,
398,Община Твърдица,Сливен,Твърдица,,,,,,obshtina@tvarditsa.bg
399,Община Тервел,Добрич,Тервел,,,,,,tervel@tervel.bg
400,Община Тетевен,Ловеч,Тетевен,,,,,,mayor@teteven.bg
401,Община Тополовград,Хасково,Тополовград,,,,,,obshtina@topolovgrad.bg
402,Община Трекляно,Кюстендил,Трекляно,,,,,,obshtina_treklqno@abv.bg
403,Община Троян,Ловеч,Троян,,,,,,mayor@troyan.bg
404,Община Трън,Перник,Трън,,,,,,obshtina@tran.egov.bg
405,Община Трявна,Габрово,Трявна,,,,,,tryavna@tryavna.bg
406,Община Тунджа,Ямбол,Тунджа,,,,,,contact@tundzha.bg
407,Община Тутракан,Силистра,Тутракан,,,,,,tutrakan@b-trust.org
408,Община Търговище,Търговище,Търговище,,,,,,obshtina@targovishte.bg
409,Община Угърчин,Ловеч,Угърчин,,,,,,obshtina@ugarchin.com
410,Община Хаджидимово,Благоевград,Хаджидимово,,,,,,obshtina_hadjidimovo@mail.bg
411,Община Хайредин,Враца,Хайредин,,,,,,hayredin_ob@mail.bg
412,Община Харманли,Хасково,Харманли,,,,,,obshtina@harmanli.bg
413,Община Хасково,Хасково,Хасково,,,,,,kmet@haskovo.bg
414,Община Хисаря,Пловдив,Хисаря,,,,,,contacts@hisarya.bg
415,Община Хитрино,Шумен,Хитрино,,,,,,kmet@hitrino.bg
416,Община Цар Калоян,Разград,Цар Калоян,,,,,,obshtina@tsarkaloyan.bg
417,Община Царево,Бургас,Царево,,,,,,tsarevo@tsarevo.bg
418,Община Ценово,Русе,Ценово,,,,,,obshtina@tsenovo.bg
419,Община Чавдар,София,Чавдар,,,,,,obchavdar@abv.bg
420,Община Челопеч,София,Челопеч,,,,,,Obshtina.Chelopech@chelopech.egov.bg
421,Община Чепеларе,Смолян,Чепеларе,,,,,,mail@chepelare.bg
422,Община Червен бряг,Плевен,Червен бряг,,,,,,municipality@chervenbryag.bg
423,Община Черноочене,Кърджали,Черноочене,,,,,,obshtina_chernoochene@abv.bg
424,Община Чипровци,Монтана,Чипровци,,,,,,chiprovci@mail.bg
425,Община Чирпан,Стара Загора,Чирпан,,,,,,kmet@chirpan.bg
426,Община Чупрене,Видин,Чупрене,,,,,,ob_chuprene@chuprene.egov.bg
427,Община Шабла,Добрич,Шабла,,,,,,obshtina@ob-shabla.org
428,Община Шумен,Шумен,Шумен,,,,,,mayor@shumen.bg
429,Община Ябланица,Ловеч,Ябланица,,,,,,kmet@yablanitsa.bg
430,Община Якимово,Монтана,Якимово,,,,,,qkimovo@net-surf.net
431,Община Якоруда,Благоевград,Якоруда,,,,,,obshtina@yakoruda.egov.bg
432,Община Ямбол,Ямбол,Ямбол,,,,,,yambol@yambol.bg
433,Омбудсман на Република България,,,,,,,,
434,Патентно ведомство на Република България,,,,,,,,
435,Пристанище Бургас ЕАД,Бургас,Бургас,,,,,,
436,Прокуратура на Република България,,,,,,,,
445,Регионална дирекция по горите - Берковица,Монтана,,,,,,,rugberkovitca@iag.bg
438,Регионална дирекция по горите - Благоевград,Благоевград,,,,,,,rugblagoevgrad@iag.bg
451,Регионална дирекция по горите - Бургас,Бургас,,,,,,,rugburgas@iag.bg
452,Регионална дирекция по горите - Варна,Варна,,,,,,,rugvarna@iag.bg
439,Регионална дирекция по горите - Велико Търново,Велико Търново,,,,,,,rugvtarnovo@iag.bg
437,Регионална дирекция по горите - Кърджали,Кърджали,,,,,,,RugKarjali@iag.bg
446,Регионална дирекция по горите - Кюстендил,Кюстендил,,,,,,,rugkustendil@iag.bg
440,Регионална дирекция по горите - Ловеч,Ловеч,,,,,,,RugLovetch@iag.bg
447,Регионална дирекция по горите - Пазарджик,Пазарджик,,,,,,,RugPazardjik@iag.bg
448,Регионална дирекция по горите - Пловдив,Пловдив,,,,,,,RugPlovdiv@iag.bg
449,Регионална дирекция по горите - Русе,Русе,,,,,,,RugRuse@iag.bg
441,Регионална дирекция по горите - Сливен,Сливен,,,,,,,RugSliven@iag.bg
442,Регионална дирекция по горите - Смолян,Смолян,,,,,,,rugsmolian@iag.bg
450,Регионална дирекция по горите - София,София,,,,,,,rdgsofia@iag.bg
443,Регионална дирекция по горите - Стара Загора,Стара Загора,,,,,,,rdgstzagora@iag.bg
444,Регионална дирекция по горите - Шумен,Шумен,,,,,,,rugshumen@iag.bg
453,Регионална здравна инспекция -  Благоевград,Благоевград,,,,,,,rzibl@rzibl.org
454,Регионална здравна инспекция -  Бургас,Бургас,,,,,,,rzi@rzi-burgas.bg
455,Регионална здравна инспекция -  Варна,Варна,,,,,,,rzi-varna@mh.government.bg
456,Регионална здравна инспекция -  Велико Търново,Велико Търново,,,,,,,vt@rzi-vt.bg
457,Регионална здравна инспекция -  Видин,Видин,,,,,,,rzi-vidin@mh.government.bg
458,Регионална здравна инспекция -  Враца,Враца,,,,,,,rzi@rzi-vratsa.com
459,Регионална здравна инспекция -  Ловеч,Ловеч,,,,,,,director@rzi-lovech.bg
460,Регионална здравна инспекция -  Пазарджик,Пазарджик,,,,,,,rzi-pazardjik@mh.government.bg
461,Регионална здравна инспекция -  Плевен,Плевен,,,,,,,rzi@rzi-pleven.com
462,Регионална здравна инспекция -  Разград,Разград,,,,,,,rzi_razgrad@rzi-razgrad.egov.bg
463,Регионална здравна инспекция -  Русе,Русе,,,,,,,rzi@rzi-ruse.com
464,Регионална здравна инспекция -  Силистра,Силистра,,,,,,,rzi-silistra@mh.government.bg
465,Регионална здравна инспекция -  Смолян,Смолян,,,,,,,rzi@rzi-smolyan.com
466,Регионална здравна инспекция -  Хасково,Хасково,,,,,,,rzi@haskovo.net.
467,Регионална здравна инспекция -  Шумен,Шумен,,,,,,,rzi-shumen@mh.government.bg
468,Регионална здравна инспекция - Габрово,Габрово,,,,,,,Gabrovo@rzi-gbr.org
469,Регионална здравна инспекция - Добрич,Добрич,,,,,,,rzi-dobrich@mh.government.bg
470,Регионална здравна инспекция - Кърджали,Кърджали,,,,,,,rzi.kj@rzi-kardjali.com
471,Регионална здравна инспекция - Кюстендил,Кюстендил,,,,,,,rzi-kiustendil@mh.government.bg
472,Регионална здравна инспекция - Монтана,Монтана,,,,,,,rzi@rzi-montana.org
473,Регионална здравна инспекция - Перник,Перник,,,,,,,rzi_pk@b-trust.org
474,Регионална здравна инспекция - Пловдив,Пловдив,,,,,,,rzi-plovdiv@mh.government.bg
475,Регионална здравна инспекция - Сливен,Сливен,,,,,,,rzi-sliven@mbox.contact.bg
476,Регионална здравна инспекция - Софийска област,Софийска област,,,,,,,rzi@rzi-sfo.egov.bg
477,Регионална здравна инспекция - Стара Загора,Стара Загора,,,,,,,rzi-stara_zagora@mh.government.bg
478,Регионална здравна инспекция - Търговище,Търговище,,,,,,,rzi-targovishte@mh.government.bg
479,Регионална здравна инспекция - Ямбол,Ямбол,,,,,,,rzi-yambol@mh.government.bg
480,Регионална инспекция по околната среда и водите -  Велико Търново,Велико Търново,,,,,,,
481,Регионална инспекция по околната среда и водите -  Плевен,Плевен,,,,,,,
482,Регионална инспекция по околната среда и водите -  Смолян,Смолян,,,,,,,
483,Регионална инспекция по околната среда и водите - Благоевград,Благоевград,,,,,,,
484,Регионална инспекция по околната среда и водите - Бургас,Бургас,,,,,,,
485,Регионална инспекция по околната среда и водите - Варна,Варна,,,,,,,
486,Регионална инспекция по околната среда и водите - Враца,Враца,,,,,,,
487,Регионална инспекция по околната среда и водите - Пазарджик,Пазарджик,,,,,,,
488,Регионална инспекция по околната среда и водите - Перник,Перник,,,,,,,
489,Регионална инспекция по околната среда и водите - Пловдив,Пловдив,,,,,,,
490,Регионална инспекция по околната среда и водите - Русе,Русе,,,,,,,
491,Регионална инспекция по околната среда и водите - София,София,,,,,,,
492,Регионална инспекция по околната среда и водите - Хасково,Хасково,,,,,,,
493,Регионално управление на образованието -  Бургас,Бургас,,,,,,,
494,Регионално управление на образованието -  Варна,Варна,,,,,,,
495,Регионално управление на образованието -  Велико Търново,Велико Търново,,,,,,,
496,Регионално управление на образованието -  Видин,Видин,,,,,,,
497,Регионално управление на образованието -  Враца,Враца,,,,,,,
498,Регионално управление на образованието -  Габрово,Габрово,,,,,,,
499,Регионално управление на образованието -  Добрич,Добрич,,,,,,,
500,Регионално управление на образованието -  Кърджали,Кърджали,,,,,,,
501,Регионално управление на образованието -  Ловеч,Ловеч,,,,,,,
502,Регионално управление на образованието -  Монтана,Монтана,,,,,,,
503,Регионално управление на образованието -  Перник,Перник,,,,,,,
504,Регионално управление на образованието -  Плевен,Плевен,,,,,,,
505,Регионално управление на образованието -  Пловдив,Пловдив,,,,,,,
506,Регионално управление на образованието -  Разград,Разград,,,,,,,
507,Регионално управление на образованието -  Сливен,Сливен,,,,,,,
508,Регионално управление на образованието -  Смолян,Смолян,,,,,,,
509,Регионално управление на образованието -  Стара Загора,Стара Загора,,,,,,,
510,Регионално управление на образованието -  Търговище,Търговище,,,,,,,
511,Регионално управление на образованието -  Ямбол,Ямбол,,,,,,,
512,Регионално управление на образованието - Благоевград,Благоевград,,,,,,,
513,Регионално управление на образованието - Кюстендил,Кюстендил,,,,,,,
514,Регионално управление на образованието - Пазарджик,Пазарджик,,,,,,,
515,Регионално управление на образованието - София - регион,София-регион,,,,,,,
516,Регионално управление на образованието - София-град,София-град,,,,,,,
517,Регионално управление на образованието - София-регион,София-регион,,,,,,,
518,Регионално управление на образованието - Хасково,Хасково,,,,,,,
519,Регионално управление на образованието - Шумен,Шумен,,,,,,,
520,Регионално управление на образованието – Пазарджик,Пазарджик,,,,,,,
521,Регионално управление на образованието – Русе,Русе,,,,,,,
522,Регионално управление на образованието Силистра,Силистра,,,,,,,
523,РИОСВ - Монтана,Монтана,,,,,,,
524,РИОСВ - Стара Загора,Стара Загора,,,,,,,
525,РИОСВ - Шумен,Шумен,,,,,,,
526,Сметна палата,,,,,,,,
527,Столичен Инспекторат,София-столица,София,София,,,,,
528,Столична община,София-столица,София,София,,,,,
529,Столична община - Район Банкя,София-столица,София,София,Банкя,,,,
530,Столична община - Район Витоша,София-столица,София,София,Витоша,,,,
531,Столична община - Район Връбница,София-столица,София,София,Връбница,,,,
532,Столична община - Район Възраждане,София-столица,София,София,Възраждане,,,,
533,Столична община - Район Изгрев,София-столица,София,София,Изгрев,,,,
534,Столична община - Район Илинден,София-столица,София,София,Илинден,,,,
535,Столична община - Район Искър,София-столица,София,София,Искър,,,,
536,Столична община - Район Красна поляна,София-столица,София,София,Красна поляна,,,,
537,Столична община - Район Красно село,София-столица,София,София,Красно село,,,,
538,Столична община - Район Кремиковци,София-столица,София,София,Кремиковци,,,,
539,Столична община - Район Лозенец,София-столица,София,София,Лозенец,,,,
540,Столична община - Район Люлин,София-столица,София,София,Люлин,,,,
541,Столична община - Район Младост,София-столица,София,София,Младост,,,,
542,Столична община - Район Надежда,София-столица,София,София,Надежда,,,,
543,Столична община - Район Нови Искър,София-столица,София,София,Нови Искър,,,,
544,Столична община - Район Оборище,София-столица,София,София,Оборище,,,,
545,Столична община - Район Овча купел,София-столица,София,София,Овча купел,,,,
546,Столична община - Район Панчарево,София-столица,София,София,Панчарево,,,,
547,Столична община - Район Подуяне,София-столица,София,София,Подуяне,,,,
548,Столична община - Район Сердика,София-столица,София,София,Сердика,,,,
549,Столична община - Район Слатина,София-столица,София,София,Слатина,,,,
550,Столична община - Район Средец,София-столица,София,София,Средец,,,,
551,Столична община - Район Студентски,София-столица,София,София,Студентски,,,,
552,Столична община - Район Триадица,София-столица,София,София,Триадица,,,,
553,Столична регионална здравна инспекция (СРЗИ),София-столица,София,София,,,,,director@srzi.egov.bg
554,Съвет за електронни медии,,,,,,,,
555,Холдинг-Български Държавни Железници ЕАД,,,,,,,,
556,Централен регистър на особените залози към Министерството на правосъдието,,,,,,,,
557,Централна избирателна комисия,,,,,,,,
558,Център за асистирана репродукция,,,,,,,,
559,Център за насърчаване на сътрудничеството в областта на селското стопанство между Китай и страните от Централна и Източна Европа (ЦНСССКЦИЕ),,,,,,,,
560,Център за развитие на човешките ресурси - ЕРАЗЪМ +,,,,,,,,
,,,,,,,,,
, ,,,,,,,,
